id,age_calculated,gender,preferred_category,birthDate,age_group
105,8,Male,Puzzle,2016-12-21,Child
106,24,Female,Sports,2001-01-18,Young_Adult
107,46,Female,Racing,1978-09-11,Middle_Age
108,44,Female,Simulation,1981-03-07,Middle_Age
109,16,Male,Simulation,2008-07-25,Teen
110,56,Female,Adventure,1969-04-28,Senior
111,31,Female,Sports,1994-01-31,Adult
112,47,Male,Shooter,1977-12-06,Middle_Age
113,11,Female,Shooter,2013-08-06,Child
114,11,Male,Simulation,2013-08-08,Child
115,40,Male,Shooter,1985-02-05,Middle_Age
116,64,Male,Sports,1960-10-31,Senior
117,38,Male,Simulation,1986-12-13,Middle_Age
118,23,Male,Strategy,2002-05-23,Young_Adult
119,43,Male,Shooter,1981-09-08,Middle_Age
120,26,Male,Shooter,1999-01-19,Adult
121,27,Female,Action,1998-01-14,Adult
122,50,Female,Strategy,1975-01-09,Middle_Age
123,63,Male,Sports,1961-11-21,Senior
124,38,Male,Puzzle,1986-06-07,Middle_Age
125,33,Female,Puzzle,1991-08-02,Adult
126,61,Male,Racing,1963-10-05,Senior
127,27,Female,Simulation,1998-05-07,Adult
128,40,Female,Adventure,1984-08-04,Middle_Age
129,15,Male,Puzzle,2009-11-12,Teen
130,35,Male,Shooter,1989-12-01,Adult
131,59,Male,Action,1966-05-06,Senior
132,12,Female,Action,2012-07-20,Child
133,27,Female,Strategy,1997-10-13,Adult
134,15,Male,Sports,2010-04-05,Teen
135,35,Male,Puzzle,1989-12-29,Adult
136,54,Male,Sports,1970-06-15,Senior
137,30,Female,Action,1994-06-04,Adult
138,20,Female,Strategy,2004-11-06,Young_Adult
139,47,Female,Shooter,1977-06-29,Middle_Age
140,41,Male,Shooter,1984-02-19,Middle_Age
141,14,Female,Shooter,2011-02-13,Teen
142,22,Female,Adventure,2002-07-16,Young_Adult
143,51,Female,Adventure,1974-04-21,Senior
144,56,Female,Simulation,1969-05-01,Senior
145,43,Male,Strategy,1981-12-26,Middle_Age
146,18,Female,Racing,2006-08-18,Teen
147,28,Male,RPG,1996-06-05,Adult
148,38,Male,RPG,1986-08-13,Middle_Age
149,64,Male,RPG,1961-05-17,Senior
150,58,Female,RPG,1966-10-09,Senior
151,30,Female,Racing,1994-07-12,Adult
152,60,Male,RPG,1965-02-02,Senior
153,57,Male,Action,1967-12-29,Senior
154,61,Female,Shooter,1963-06-12,Senior
155,34,Male,Puzzle,1990-08-12,Adult
156,54,Male,Action,1970-10-15,Senior
157,53,Male,Simulation,1971-12-18,Senior
158,54,Female,RPG,1970-07-19,Senior
159,25,Male,Shooter,1999-08-25,Young_Adult
160,33,Male,Strategy,1991-10-30,Adult
161,27,Male,Strategy,1997-06-24,Adult
162,18,Female,Adventure,2006-06-28,Teen
163,54,Male,Racing,1971-03-25,Senior
164,36,Female,Sports,1988-11-20,Middle_Age
165,49,Female,Adventure,1976-03-29,Middle_Age
166,11,Male,Adventure,2013-11-18,Child
167,37,Male,Shooter,1987-11-14,Middle_Age
168,10,Female,Simulation,2015-05-16,Child
169,22,Female,RPG,2002-08-20,Young_Adult
170,40,Female,Puzzle,1985-05-05,Middle_Age
171,31,Female,Racing,1993-06-28,Adult
172,44,Female,Strategy,1980-09-20,Middle_Age
173,33,Female,RPG,1991-11-28,Adult
174,40,Female,Action,1985-01-13,Middle_Age
175,63,Male,Strategy,1962-04-24,Senior
176,52,Female,Action,1972-09-02,Senior
177,8,Male,RPG,2017-03-23,Child
178,57,Female,Sports,1967-12-14,Senior
179,25,Male,Simulation,1999-10-08,Young_Adult
180,19,Male,Shooter,2005-11-28,Young_Adult
181,34,Female,Simulation,1990-12-20,Adult
182,36,Female,Shooter,1988-12-09,Middle_Age
183,50,Male,Strategy,1974-11-14,Middle_Age
184,48,Female,Simulation,1976-11-18,Middle_Age
185,8,Male,Shooter,2016-12-01,Child
186,35,Male,Shooter,1990-05-19,Adult
187,54,Male,Racing,1971-05-18,Senior
188,45,Female,Sports,1980-02-07,Middle_Age
189,34,Male,Shooter,1990-09-16,Adult
190,63,Male,Adventure,1962-02-22,Senior
191,41,Male,Puzzle,1984-05-14,Middle_Age
192,14,Male,Simulation,2011-02-02,Teen
193,23,Female,Puzzle,2001-08-07,Young_Adult
194,20,Male,Adventure,2004-09-02,Young_Adult
195,16,Female,Simulation,2008-12-21,Teen
196,34,Male,Shooter,1990-09-19,Adult
197,28,Male,Strategy,1996-11-01,Adult
198,55,Male,Simulation,1969-11-14,Senior
199,59,Male,Sports,1965-09-19,Senior
200,30,Male,Shooter,1995-03-12,Adult
201,34,Female,Action,1990-07-04,Adult
202,49,Female,RPG,1975-07-20,Middle_Age
203,38,Male,Strategy,1987-01-22,Middle_Age
204,19,Male,Shooter,2006-03-05,Young_Adult
205,26,Male,Sports,1999-04-01,Adult
206,13,Male,Strategy,2012-04-05,Teen
207,43,Male,Sports,1981-07-14,Middle_Age
208,22,Male,Shooter,2002-06-17,Young_Adult
209,59,Male,Shooter,1965-09-29,Senior
210,16,Male,Adventure,2009-02-23,Teen
211,57,Female,Adventure,1967-08-06,Senior
212,40,Female,Puzzle,1985-05-27,Middle_Age
213,45,Male,Simulation,1980-05-03,Middle_Age
214,64,Male,Action,1961-03-11,Senior
215,32,Female,Strategy,1992-11-29,Adult
216,26,Female,Racing,1998-09-17,Adult
217,8,Female,Racing,2016-10-25,Child
218,12,Male,Shooter,2012-10-14,Child
219,57,Female,Puzzle,1967-12-30,Senior
220,18,Male,Shooter,2007-04-18,Teen
221,41,Male,Shooter,1984-02-02,Middle_Age
222,54,Male,Shooter,1970-06-19,Senior
223,54,Male,Simulation,1970-09-15,Senior
224,61,Male,Sports,1963-06-08,Senior
225,55,Male,Racing,1970-02-22,Senior
226,36,Female,Adventure,1988-10-28,Middle_Age
227,9,Female,Racing,2016-01-07,Child
228,33,Male,Strategy,1992-05-27,Adult
229,53,Female,Strategy,1972-01-20,Senior
230,36,Female,Strategy,1989-02-08,Middle_Age
231,16,Male,Shooter,2008-12-31,Teen
232,17,Female,Action,2007-08-27,Teen
233,44,Female,Simulation,1981-05-31,Middle_Age
234,24,Female,Racing,2001-01-07,Young_Adult
235,64,Female,Puzzle,1961-01-28,Senior
236,14,Female,Sports,2010-10-06,Teen
237,41,Male,Racing,1983-09-04,Middle_Age
238,20,Female,Sports,2005-04-25,Young_Adult
239,38,Male,Strategy,1986-07-17,Middle_Age
240,20,Male,Simulation,2004-07-27,Young_Adult
241,23,Male,Puzzle,2001-09-06,Young_Adult
242,15,Male,RPG,2009-06-21,Teen
243,53,Male,Action,1971-12-27,Senior
244,43,Male,Action,1982-04-16,Middle_Age
245,17,Female,Action,2007-06-10,Teen
246,36,Male,Simulation,1988-10-28,Middle_Age
247,52,Female,Adventure,1972-10-08,Senior
248,38,Male,Adventure,1986-09-25,Middle_Age
249,29,Female,Shooter,1995-09-29,Adult
250,8,Female,Puzzle,2017-01-23,Child
251,23,Female,Puzzle,2002-03-03,Young_Adult
252,47,Male,Sports,1978-02-18,Middle_Age
253,55,Female,Racing,1969-11-25,Senior
254,55,Female,Adventure,1969-08-31,Senior
255,40,Male,Strategy,1985-04-30,Middle_Age
256,17,Male,Puzzle,2007-07-31,Teen
257,51,Male,Sports,1973-07-20,Senior
258,48,Male,Strategy,1976-06-14,Middle_Age
259,38,Male,Strategy,1987-01-23,Middle_Age
260,28,Male,Shooter,1996-12-26,Adult
261,25,Male,Adventure,1999-10-08,Young_Adult
262,18,Female,Sports,2006-12-05,Teen
263,36,Female,Shooter,1988-08-02,Middle_Age
264,47,Male,Shooter,1978-03-10,Middle_Age
265,8,Male,Racing,2016-09-19,Child
266,58,Male,Sports,1966-08-22,Senior
267,18,Male,Puzzle,2006-06-15,Teen
268,45,Male,Action,1979-06-13,Middle_Age
269,12,Female,RPG,2013-02-28,Child
270,60,Female,Puzzle,1965-03-02,Senior
271,22,Female,Action,2003-03-24,Young_Adult
272,58,Female,Simulation,1967-03-26,Senior
273,41,Male,Shooter,1983-10-14,Middle_Age
274,46,Male,Puzzle,1979-02-20,Middle_Age
275,41,Male,Strategy,1984-01-20,Middle_Age
276,23,Female,Action,2002-04-17,Young_Adult
277,33,Male,Shooter,1992-03-14,Adult
278,34,Male,Shooter,1991-01-17,Adult
279,53,Female,Racing,1971-08-16,Senior
280,36,Female,Strategy,1988-07-15,Middle_Age
281,47,Female,Adventure,1977-10-13,Middle_Age
282,46,Female,Puzzle,1978-06-13,Middle_Age
283,35,Female,RPG,1990-05-14,Adult
284,62,Female,Puzzle,1963-03-03,Senior
285,14,Female,Shooter,2010-11-24,Teen
286,13,Female,Racing,2012-05-15,Teen
287,9,Male,Sports,2016-01-10,Child
288,27,Female,Action,1997-06-22,Adult
289,61,Male,Racing,1963-12-06,Senior
290,32,Female,Simulation,1993-02-06,Adult
291,45,Female,Sports,1979-09-01,Middle_Age
292,36,Male,Puzzle,1989-01-20,Middle_Age
293,35,Male,Puzzle,1990-03-03,Adult
294,9,Male,RPG,2016-03-22,Child
295,28,Male,Simulation,1996-10-25,Adult
296,21,Female,Puzzle,2004-02-22,Young_Adult
297,65,Male,Shooter,1959-12-18,Senior
298,14,Male,Simulation,2010-07-03,Teen
299,22,Male,Sports,2002-08-05,Young_Adult
300,26,Male,Racing,1998-11-18,Adult
301,20,Female,Racing,2005-05-28,Young_Adult
302,58,Male,Puzzle,1966-09-26,Senior
303,24,Male,Simulation,2000-11-06,Young_Adult
304,13,Male,Simulation,2011-08-22,Teen
305,57,Female,Shooter,1967-12-28,Senior
306,46,Male,Simulation,1978-12-30,Middle_Age
307,54,Female,Sports,1970-06-09,Senior
308,15,Female,Strategy,2009-08-06,Teen
309,15,Female,RPG,2010-02-05,Teen
310,57,Male,RPG,1967-12-19,Senior
311,17,Female,Action,2007-12-19,Teen
312,56,Male,Simulation,1968-07-27,Senior
313,63,Female,Simulation,1962-01-01,Senior
314,63,Female,Action,1961-07-27,Senior
315,16,Male,Racing,2008-10-18,Teen
316,33,Female,Sports,1991-08-26,Adult
317,59,Male,Sports,1965-09-02,Senior
318,60,Male,Sports,1965-03-09,Senior
319,64,Female,Shooter,1961-05-22,Senior
320,33,Male,RPG,1991-07-21,Adult
321,64,Male,Puzzle,1961-03-08,Senior
322,53,Male,Strategy,1971-09-18,Senior
323,19,Female,RPG,2006-05-24,Young_Adult
324,45,Female,Adventure,1980-04-09,Middle_Age
325,25,Female,Adventure,1999-06-10,Young_Adult
326,46,Male,Puzzle,1978-08-16,Middle_Age
327,23,Female,Simulation,2001-12-19,Young_Adult
328,15,Male,RPG,2009-11-23,Teen
329,34,Female,Adventure,1991-05-19,Adult
330,43,Male,Racing,1981-06-25,Middle_Age
331,54,Male,Puzzle,1970-10-01,Senior
332,59,Male,RPG,1966-03-23,Senior
333,24,Female,Sports,2001-02-14,Young_Adult
334,61,Male,Racing,1964-03-15,Senior
335,27,Female,Strategy,1997-07-14,Adult
336,47,Male,Shooter,1977-06-11,Middle_Age
337,46,Male,Strategy,1978-11-22,Middle_Age
338,30,Female,Sports,1994-08-30,Adult
339,10,Male,Racing,2014-09-27,Child
340,10,Male,Strategy,2014-12-29,Child
341,8,Male,Action,2017-04-22,Child
342,54,Male,Action,1971-03-29,Senior
343,28,Male,Racing,1996-06-10,Adult
344,61,Female,Shooter,1964-02-22,Senior
345,20,Female,Puzzle,2004-06-07,Young_Adult
346,17,Male,Shooter,2007-12-04,Teen
347,18,Male,Simulation,2007-02-14,Teen
348,55,Female,Shooter,1970-01-26,Senior
349,36,Female,Adventure,1989-01-31,Middle_Age
350,25,Female,Simulation,2000-03-11,Young_Adult
351,22,Female,Puzzle,2002-06-04,Young_Adult
352,39,Male,RPG,1985-06-06,Middle_Age
353,46,Male,Action,1979-03-13,Middle_Age
354,44,Male,Shooter,1981-04-30,Middle_Age
355,42,Female,Puzzle,1982-07-15,Middle_Age
356,58,Male,Strategy,1967-04-19,Senior
357,11,Female,Simulation,2014-05-16,Child
358,27,Female,Shooter,1998-01-08,Adult
359,18,Male,Strategy,2006-07-09,Teen
360,11,Female,Racing,2013-11-18,Child
361,33,Female,Shooter,1991-07-13,Adult
362,9,Female,Puzzle,2016-01-31,Child
363,13,Female,Sports,2011-07-07,Teen
364,20,Male,Adventure,2005-03-04,Young_Adult
365,32,Male,Simulation,1993-02-01,Adult
366,49,Female,Shooter,1975-07-04,Middle_Age
367,25,Male,Puzzle,1999-06-18,Young_Adult
368,38,Female,Strategy,1986-12-07,Middle_Age
369,14,Male,Puzzle,2010-06-14,Teen
370,22,Female,Strategy,2003-04-08,Young_Adult
371,16,Male,Shooter,2008-08-08,Teen
372,22,Female,Action,2002-09-16,Young_Adult
373,17,Male,RPG,2007-11-05,Teen
374,31,Male,Strategy,1993-11-27,Adult
375,18,Male,Puzzle,2007-04-12,Teen
376,25,Male,Shooter,2000-01-10,Young_Adult
377,12,Female,Shooter,2012-06-08,Child
378,50,Female,Strategy,1974-09-29,Middle_Age
379,18,Male,Strategy,2007-03-31,Teen
380,46,Female,RPG,1978-08-09,Middle_Age
381,26,Female,RPG,1998-11-01,Adult
382,26,Female,Racing,1998-06-28,Adult
383,52,Male,Puzzle,1972-09-23,Senior
384,17,Female,Puzzle,2007-10-26,Teen
385,61,Male,RPG,1964-05-22,Senior
386,13,Female,Puzzle,2012-05-17,Teen
387,42,Male,RPG,1983-01-23,Middle_Age
388,45,Female,Sports,1979-11-09,Middle_Age
389,47,Male,Simulation,1978-03-17,Middle_Age
390,29,Male,Strategy,1996-02-06,Adult
391,53,Male,Action,1971-09-06,Senior
392,13,Female,Adventure,2012-04-05,Teen
393,17,Female,Shooter,2007-11-10,Teen
394,54,Male,Sports,1971-02-25,Senior
395,15,Male,Action,2010-05-12,Teen
396,50,Female,Simulation,1974-08-14,Middle_Age
397,42,Female,Racing,1983-03-13,Middle_Age
398,39,Female,Strategy,1986-02-09,Middle_Age
399,10,Male,Sports,2014-08-27,Child
400,37,Male,Racing,1988-03-24,Middle_Age
401,64,Male,Sports,1960-06-17,Senior
402,51,Female,Action,1973-09-19,Senior
403,57,Male,Sports,1967-12-20,Senior
404,47,Female,Shooter,1978-02-15,Middle_Age
405,26,Female,RPG,1999-04-30,Adult
406,26,Female,Shooter,1998-12-20,Adult
407,54,Male,Racing,1970-11-02,Senior
408,12,Female,Action,2012-06-23,Child
409,23,Male,Puzzle,2002-03-24,Young_Adult
410,53,Female,RPG,1972-04-07,Senior
411,60,Male,Sports,1964-12-13,Senior
412,57,Male,Action,1967-12-07,Senior
413,59,Male,Strategy,1965-08-08,Senior
414,10,Male,Racing,2014-06-20,Child
415,59,Male,Strategy,1966-01-19,Senior
416,21,Female,Sports,2003-08-20,Young_Adult
417,64,Male,Action,1960-06-11,Senior
418,44,Female,Shooter,1980-07-13,Middle_Age
419,8,Female,RPG,2016-07-30,Child
420,54,Male,RPG,1971-01-31,Senior
421,60,Female,Shooter,1964-09-18,Senior
422,37,Female,Sports,1988-02-10,Middle_Age
423,10,Female,RPG,2014-11-12,Child
424,13,Male,Racing,2012-01-09,Teen
425,25,Male,Racing,1999-09-18,Young_Adult
426,20,Male,RPG,2004-11-05,Young_Adult
427,64,Female,Racing,1961-04-12,Senior
428,24,Male,Puzzle,2001-01-01,Young_Adult
429,21,Male,Adventure,2003-08-16,Young_Adult
430,28,Female,Sports,1997-04-17,Adult
431,19,Female,Puzzle,2006-05-22,Young_Adult
432,18,Female,Sports,2006-08-26,Teen
433,59,Male,Action,1965-06-09,Senior
434,14,Female,Action,2011-05-31,Teen
435,47,Male,Shooter,1978-01-12,Middle_Age
436,17,Male,Action,2008-03-17,Teen
437,49,Male,Sports,1975-06-21,Middle_Age
438,36,Female,Puzzle,1988-08-06,Middle_Age
439,43,Female,Sports,1982-01-07,Middle_Age
440,14,Male,Strategy,2011-03-25,Teen
441,61,Male,Strategy,1963-11-10,Senior
442,24,Male,Simulation,2000-06-29,Young_Adult
443,52,Female,RPG,1972-09-13,Senior
444,14,Female,Strategy,2010-07-15,Teen
445,34,Male,Action,1991-02-20,Adult
446,14,Female,Puzzle,2011-05-17,Teen
447,47,Male,RPG,1977-11-18,Middle_Age
448,31,Male,Racing,1993-12-27,Adult
449,22,Male,Strategy,2003-01-04,Young_Adult
450,45,Female,Action,1980-04-20,Middle_Age
451,50,Female,Racing,1975-04-10,Middle_Age
452,9,Female,Simulation,2015-10-14,Child
453,13,Female,Puzzle,2012-01-23,Teen
454,58,Male,Action,1967-04-30,Senior
455,18,Female,Strategy,2006-09-28,Teen
456,11,Male,Shooter,2014-04-19,Child
457,13,Female,Action,2012-05-22,Teen
458,42,Male,RPG,1982-09-25,Middle_Age
459,55,Male,Puzzle,1970-02-15,Senior
460,8,Female,Simulation,2017-05-13,Child
461,20,Male,Simulation,2005-04-26,Young_Adult
462,30,Male,Racing,1995-03-27,Adult
463,27,Male,Sports,1997-10-12,Adult
464,50,Male,RPG,1974-08-08,Middle_Age
465,40,Male,Puzzle,1985-05-14,Middle_Age
466,33,Male,RPG,1991-06-19,Adult
467,28,Female,Shooter,1996-12-31,Adult
468,21,Male,Sports,2003-10-05,Young_Adult
469,29,Female,Racing,1995-09-21,Adult
470,65,Female,Simulation,1960-03-30,Senior
471,47,Female,Simulation,1978-05-26,Middle_Age
472,36,Female,Shooter,1989-05-13,Middle_Age
473,23,Female,Strategy,2002-02-18,Young_Adult
474,17,Male,Adventure,2008-01-27,Teen
475,34,Female,Shooter,1991-05-01,Adult
476,56,Male,Puzzle,1968-11-12,Senior
477,24,Male,Strategy,2000-07-04,Young_Adult
478,40,Female,Shooter,1985-01-24,Middle_Age
479,27,Male,Simulation,1998-04-20,Adult
480,57,Male,Puzzle,1968-05-11,Senior
481,12,Female,Racing,2012-08-05,Child
482,32,Female,Strategy,1992-07-04,Adult
483,48,Male,Strategy,1976-07-21,Middle_Age
484,29,Female,Strategy,1995-12-29,Adult
485,61,Male,Sports,1963-11-28,Senior
486,55,Male,Racing,1970-02-18,Senior
487,58,Female,RPG,1966-08-19,Senior
488,15,Female,Adventure,2009-11-20,Teen
489,22,Female,Sports,2002-09-25,Young_Adult
490,20,Female,Racing,2004-10-03,Young_Adult
491,31,Female,Simulation,1993-12-24,Adult
492,40,Male,Action,1985-01-12,Middle_Age
493,8,Male,Adventure,2016-06-05,Child
494,48,Female,Adventure,1977-01-20,Middle_Age
495,23,Male,Strategy,2002-04-08,Young_Adult
496,19,Female,Shooter,2006-01-19,Young_Adult
497,37,Female,Simulation,1988-01-30,Middle_Age
498,8,Male,Shooter,2016-08-04,Child
499,52,Female,Racing,1973-04-17,Senior
500,50,Male,RPG,1974-06-23,Middle_Age
